AD_Org_ID[Name],C_Country_ID[Name],C_Region_ID[Name],Name,IsActive,Postal,AreaCode,Locode,Coordinates
,,,ITHACA,Y,4059,,,
,,,KELVIN GROVE,Y,4059,,,
,,,KELVIN GROVE BC,Y,4059,,,
,,,KELVIN GROVE DC,Y,4059,,,
,,,NORMANBY,Y,4059,,,
,,,RED HILL,Y,4059,,,
,,,ASHGROVE,Y,4060,,,
,,,ASHGROVE EAST,Y,4060,,,
,,,ASHGROVE WEST,Y,4060,,,
,,,DORRINGTON,Y,4060,,,
,,,ST JOHNS WOOD,Y,4060,,,
,,,THE GAP,Y,4061,,,
,,,BAROONA,Y,4064,,,
,,,MILTON,Y,4064,,,
,,,MILTON BC,Y,4064,,,
,,,PADDINGTON,Y,4064,,,
,,,ROSALIE,Y,4064,,,
,,,BARDON,Y,4065,,,
,,,BARDON WEST,Y,4065,,,
,,,JUBILEE,Y,4065,,,
,,,RAINWORTH,Y,4065,,,
,,,AUCHENFLOWER,Y,4066,,,
,,,MOUNT COOT-THA,Y,4066,,,
,,,STUARTHOLME,Y,4066,,,
,,,TOOWONG,Y,4066,,,
,,,TOOWONG BC,Y,4066,,,
,,,TOOWONG DC,Y,4066,,,
,,,TORWOOD,Y,4066,,,
,,,IRONSIDE,Y,4067,,,
,,,ST LUCIA,Y,4067,,,
,,,ST LUCIA SOUTH,Y,4067,,,
,,,CHELMER,Y,4068,,,
,,,INDOOROOPILLY,Y,4068,,,
,,,INDOOROOPILLY CENTRE,Y,4068,,,
,,,LONG POCKET,Y,4068,,,
,,,TARINGA,Y,4068,,,
,,,BROOKFIELD,Y,4069,,,
,,,CHAPEL HILL,Y,4069,,,
,,,FIG TREE POCKET,Y,4069,,,
,,,KENMORE,Y,4069,,,
,,,KENMORE DC,Y,4069,,,
,,,KENMORE EAST,Y,4069,,,
,,,KENMORE HILLS,Y,4069,,,
,,,LONE PINE,Y,4069,,,
,,,PINJARRA HILLS,Y,4069,,,
,,,PULLENVALE,Y,4069,,,
,,,UPPER BROOKFIELD,Y,4069,,,
,,,ANSTEAD,Y,4070,,,
,,,BELLBOWRIE,Y,4070,,,
,,,MOGGILL,Y,4070,,,
,,,PRIORS POCKET,Y,4070,,,
,,,UNIVERSITY OF QUEENSLAND,Y,4072,,,
,,,SEVENTEEN MILE ROCKS,Y,4073,,,
,,,SINNAMON PARK,Y,4073,,,
,,,JAMBOREE HEIGHTS,Y,4074,,,
,,,JINDALEE,Y,4074,,,
,,,MIDDLE PARK,Y,4074,,,
,,,MOUNT OMMANEY,Y,4074,,,
,,,RIVERHILLS,Y,4074,,,
,,,SUMNER,Y,4074,,,
,,,SUMNER PARK BC,Y,4074,,,
,,,WESTLAKE,Y,4074,,,
,,,CORINDA,Y,4075,,,
,,,GRACEVILLE,Y,4075,,,
,,,GRACEVILLE EAST,Y,4075,,,
,,,OXLEY,Y,4075,,,
,,,SHERWOOD,Y,4075,,,
,,,DARRA,Y,4076,,,
,,,WACOL,Y,4076,,,
,,,WACOL EAST IMMIGRATION CENTRE,Y,4076,,,
,,,DOOLANDELLA,Y,4077,,,
,,,DURACK,Y,4077,,,
,,,INALA,Y,4077,,,
,,,INALA EAST,Y,4077,,,
,,,INALA HEIGHTS,Y,4077,,,
,,,INALA WEST,Y,4077,,,
,,,RICHLANDS,Y,4077,,,
,,,RICHLANDS BC,Y,4077,,,
,,,RICHLANDS DC,Y,4077,,,
,,,SERVICETON,Y,4077,,,
,,,ELLEN GROVE,Y,4078,,,
,,,FOREST LAKE,Y,4078,,,
,,,HIGHGATE HILL,Y,4101,,,
,,,MATER HILL,Y,4101,,,
,,,MATER HOSPITAL,Y,4101,,,
,,,SOUTH BANK,Y,4101,,,
,,,SOUTH BRISBANE,Y,4101,,,
,,,SOUTH BRISBANE BC,Y,4101,,,
,,,WEST END,Y,4101,,,
,,,BURANDA,Y,4102,,,
,,,DUTTON PARK,Y,4102,,,
,,,PRINCESS ALEXANDRA HOSPITAL,Y,4102,,,
,,,WOOLLOONGABBA,Y,4102,,,
,,,ANNERLEY,Y,4103,,,
,,,ANNERLEY DC,Y,4103,,,
,,,FAIRFIELD,Y,4103,,,
,,,FAIRFIELD GARDENS,Y,4103,,,
,,,THOMPSON ESTATE,Y,4103,,,
,,,YERONGA,Y,4104,,,
,,,YERONGA WEST,Y,4104,,,
,,,CLIFTON HILL,Y,4105,,,
,,,MOOROOKA,Y,4105,,,
,,,MOORVALE,Y,4105,,,
,,,TENNYSON,Y,4105,,,
,,,YEERONGPILLY,Y,4105,,,
,,,BRISBANE MARKET,Y,4106,,,
,,,ROCKLEA,Y,4106,,,
